id,product_name,console,condition,status,issue
7c599e65-47d1-47b8-b25b-cecdf55c9b70,Burnout Point of Impact 2,GameCube,CIB,available,pricecharting_no_match
13cb5f3a-b424-4d04-a7a9-da79ca368b80,Cabelas Alaskan Adventures,PlayStation 2,CIB,available,pricecharting_no_match
1ed34a32-7c5e-4dfb-bfd6-53e5262708ce,Cabelas Big Game Hunter,PlayStation 2,CIB,available,pricecharting_no_match
433702da-32b8-4e62-8b55-57624faed510,Cabelas Deer Hunt 2004 Season,PlayStation 2,CIB,available,pricecharting_no_match
7085e8bc-6d3d-4de1-8a17-ab263dc8e97c,Call of Duty 4 Modern Warfare,PlayStation 3,CIB,available,pricecharting_no_match
9553f2a4-64a6-4517-a574-34ba44b19cae,Call of Duty Black Ops II,Xbox 360,CIB,available,pricecharting_no_match
b965ff0d-4a60-4f3d-ae89-2c0f757831ed,Cars,Xbox,CIB,available,pricecharting_no_match
6f0f404f-bb7e-48d3-ae79-ad87c889b0dc,Cars,GameCube,CIB,available,pricecharting_no_match
a172d715-fe7c-4e3a-9257-698505a1f55a,Cold Stone Creamery: Scoop It Up,Wii,CIB,available,pricecharting_no_match
22f2e9d2-2348-4ed2-ad11-80b6136b8c2c,Dai-2-Ji Super Robot Wars Alpha,,CIB,available,pricecharting_no_match
4edc9eb9-0b18-4b15-bc57-a4a88958d0ae,Dai-2-Ji Super Robot Wars Alpha,PlayStation 2,CIB,available,pricecharting_no_match
927b10b2-9202-4c1a-a950-78f1cf221773,Dai-2-Ji Super Robot Wars Alpha,,CIB,available,pricecharting_no_match
7878abfd-6266-47b1-80ed-02776ef51122,Dance Central 3,Xbox 360,CIB,available,pricecharting_no_match
0d4c0d8a-2b09-46e3-a885-df26e160bd32,Dance Dance Revolution Extreme 2,PlayStation 2,CIB,available,pricecharting_no_match
50aa371c-a151-4a55-8559-7f7d308d476b,Dishonored [Definitive Edition],Xbox One,CIB,available,pricecharting_no_match
39752f3d-03f1-4505-9d80-28042013e4e0,Disney Sing It,Xbox 360,CIB,available,pricecharting_no_match
e372fa25-7ce1-4802-8291-867432ebc76e,Disneyland Adventures,Xbox 360,CIB,available,pricecharting_no_match
962db774-55c8-4cbd-97ba-7ad28bb03447,DMC: Devil May Cry,Xbox 360,CIB,available,pricecharting_no_match
e9626df6-c347-486c-afb9-5568f6076bba,Dragon Ball Z,PlayStation 2,CIB,sold,pricecharting_no_match
f1c16774-712e-420e-b252-ff967452cb07,Dragon Ball Z,PlayStation 2,CIB,available,pricecharting_no_match
edcba14e-e856-4fb0-bb7f-b1392991c17c,Dragon Ball Z 3,PlayStation 2,CIB,available,pricecharting_no_match
47d6029a-4c7f-4ecd-8f05-ca67567dc089,Dragon Ball Z Sparking,PlayStation 2,CIB,available,pricecharting_no_match
a4afa4dc-2971-41e3-8a7e-ddab95f14019,Dragon Quest 7,PlayStation,CIB,available,pricecharting_no_match
6bb6ab76-91e0-4e75-b043-6e1f7d7c24d3,Dragon Warrior,NES,CIB,available,pricecharting_no_match
