id,product_name,console,condition,status,issue
7085e8bc-6d3d-4de1-8a17-ab263dc8e97c,Call of Duty 4 Modern Warfare,PlayStation 3,CIB,available,pricecharting_no_match
b965ff0d-4a60-4f3d-ae89-2c0f757831ed,Cars,Xbox,CIB,available,pricecharting_no_match
6f0f404f-bb7e-48d3-ae79-ad87c889b0dc,Cars,GameCube,CIB,available,pricecharting_no_match
2a727aa2-38b1-4de4-b233-0785bab70c8a,Chicken Shoot,Wii,CIB,available,pricecharting_no_match
22f2e9d2-2348-4ed2-ad11-80b6136b8c2c,Dai-2-Ji Super Robot Wars Alpha,,CIB,available,pricecharting_no_match
8e198c7b-fa0f-4491-ba53-18f472c34c0d,Dai-2-Ji Super Robot Wars Alpha,PlayStation 2,CIB,available,pricecharting_no_match
4edc9eb9-0b18-4b15-bc57-a4a88958d0ae,Dai-2-Ji Super Robot Wars Alpha,PlayStation 2,CIB,available,pricecharting_no_match
927b10b2-9202-4c1a-a950-78f1cf221773,Dai-2-Ji Super Robot Wars Alpha,,CIB,available,pricecharting_no_match
0d4c0d8a-2b09-46e3-a885-df26e160bd32,Dance Dance Revolution Extreme 2,PlayStation 2,CIB,available,pricecharting_no_match
e0fc336f-1f48-4270-9290-503998e6588a,Dead Space 3 [Limited Edition],Xbox 360,CIB,available,pricecharting_no_match
39752f3d-03f1-4505-9d80-28042013e4e0,Disney Sing It,Xbox 360,CIB,available,pricecharting_no_match
e372fa25-7ce1-4802-8291-867432ebc76e,Disneyland Adventures,Xbox 360,CIB,available,pricecharting_no_match
7d096884-2499-4810-a136-06d7f5652da6,Dragon Age II,PlayStation 3,CIB,available,pricecharting_no_match
e9626df6-c347-486c-afb9-5568f6076bba,Dragon Ball Z,PlayStation 2,CIB,sold,pricecharting_no_match
f1c16774-712e-420e-b252-ff967452cb07,Dragon Ball Z,PlayStation 2,CIB,available,pricecharting_no_match
edcba14e-e856-4fb0-bb7f-b1392991c17c,Dragon Ball Z 3,PlayStation 2,CIB,available,pricecharting_no_match
47d6029a-4c7f-4ecd-8f05-ca67567dc089,Dragon Ball Z Sparking,PlayStation 2,CIB,available,pricecharting_no_match
a4afa4dc-2971-41e3-8a7e-ddab95f14019,Dragon Quest 7,PlayStation,CIB,available,pricecharting_no_match
6bb6ab76-91e0-4e75-b043-6e1f7d7c24d3,Dragon Warrior,NES,CIB,available,pricecharting_no_match
d7f8de56-473a-4a6f-a972-f36c68eb6c0e,Dragon's Dogma,PlayStation 3,CIB,available,pricecharting_no_match
45528b06-f792-4539-a3d9-1f8708854104,Dragonball Z Budokai,GameCube,CIB,available,pricecharting_no_match
5d1f3886-4241-419d-b290-3a563c81ec77,ESPN NFL 2K5,Xbox,CIB,available,pricecharting_no_match
1f0bd904-86ac-448c-88f4-a792e45584d8,EX Jinsei Game,PlayStation 2,CIB,available,pricecharting_no_match
68d9fdc8-e120-4272-90bf-5c237e25fa40,Eyepet & Friends,PlayStation 3,CIB,available,pricecharting_no_match
53ce0477-a8cf-40af-9b5e-a388b8c25130,FIFA 16,Xbox One,CIB,available,pricecharting_no_match
ab21c2c7-58dc-4f66-9915-d8a16a614d56,FIFA Soccer 11,PlayStation 3,CIB,available,pricecharting_no_match
